source,target,sim
33,151,0.7996770143508911
33,153,0.7906538248062134
33,157,0.6973894834518433
33,161,0.7775811553001404
33,163,0.7625035047531128
33,164,0.796714186668396
33,167,0.8139458298683167
33,174,0.7568157911300659
33,179,0.7393411993980408
33,184,0.7964144945144653
33,191,0.7810019850730896
34,39,0.8306345343589783
34,130,0.7712666988372803
34,135,0.7740029096603394
34,136,0.7408844232559204
34,137,0.7704943418502808
34,143,0.7640808820724487
34,145,0.7846310138702393
34,153,0.7603135108947754
34,154,0.7616730332374573
34,191,0.745651125907898
35,38,0.8184354901313782
35,39,0.8025801777839661
35,48,0.8146007061004639
35,56,0.7810261249542236
35,94,0.756568193435669
35,99,0.7749459743499756
35,102,0.7746062278747559
35,113,0.8171111345291138
35,114,0.7934429049491882
35,115,0.7737308740615845
35,130,0.7908399105072021
35,142,0.7139579057693481
35,182,0.7553678154945374
35,185,0.7901339530944824
36,60,0.7555656433105469
36,61,0.7644946575164795
36,65,0.741166353225708
36,77,0.7509478330612183
36,85,0.7332835793495178
36,88,0.7591778635978699
36,89,0.7333114147186279
36,99,0.7333676218986511
36,105,0.7400100231170654
36,108,0.7358659505844116
36,111,0.7352567911148071
36,144,0.7239772081375122
36,158,0.7370073795318604
36,159,0.7231178283691406
36,165,0.7237323522567749
37,41,0.8014066219329834
37,43,0.7953528761863708
37,52,0.8129788637161255
37,63,0.8107454180717468
37,75,0.8223084211349487
37,76,0.840097963809967
37,80,0.8202981948852539
37,87,0.8383196592330933
37,110,0.8095223903656006
37,132,0.8126566410064697
37,137,0.8212437629699707
37,144,0.7965801954269409
37,147,0.7944763898849487
37,171,0.7926257848739624
37,175,0.8741352558135986
38,44,0.8002934455871582
38,45,0.7803202271461487
38,62,0.7648136019706726
38,71,0.8073685765266418
38,78,0.8025033473968506
38,79,0.7581645846366882
38,82,0.8043495416641235
38,86,0.8155613541603088
38,91,0.7646101117134094
38,99,0.8192776441574097
38,104,0.7724950909614563
38,113,0.804889976978302
38,114,0.8721769452095032
38,121,0.7374038696289062
38,125,0.7283318042755127
38,141,0.791225790977478
38,142,0.7409049272537231
38,148,0.821079671382904
38,163,0.7623088955879211
38,166,0.7207104563713074
38,170,0.7041432857513428
38,173,0.7567452192306519
38,182,0.7692822813987732
38,183,0.7730307579040527
38,192,0.7431020736694336
38,198,0.7356976270675659
39,44,0.8217585682868958
39,55,0.7528114318847656
39,72,0.800141453742981
39,95,0.8094145059585571
39,96,0.7900787591934204
39,97,0.8063291907310486
39,100,0.8126993775367737
39,113,0.8180280327796936
39,115,0.8238248825073242
39,129,0.8159593343734741
39,130,0.8273411393165588
39,135,0.7422882318496704
39,136,0.744225025177002
39,139,0.804575502872467
39,142,0.7103652954101562
39,143,0.822280764579773
39,185,0.8463243246078491
39,191,0.7548286318778992
39,199,0.7613517045974731
40,41,0.8470456004142761
40,42,0.8828697204589844
40,44,0.8809877634048462
40,53,0.8401123881340027
40,54,0.8705438375473022
40,57,0.856335461139679
40,62,0.7572685480117798
40,66,0.8409044742584229
40,72,0.7856582403182983
40,74,0.7553422451019287
40,81,0.7854068279266357
40,95,0.814924955368042
40,99,0.8266168832778931
40,100,0.8540939092636108
40,102,0.7712816596031189
40,112,0.8585493564605713
40,129,0.8511006236076355
40,130,0.8363578915596008
40,133,0.8366427421569824
40,138,0.8621625304222107
40,140,0.8405327200889587
40,147,0.8401481509208679
40,155,0.865362286567688
40,180,0.783591628074646
40,181,0.8438709378242493
40,185,0.830944836139679
41,42,0.8692784309387207
41,43,0.8920363783836365
41,53,0.8343141674995422
41,54,0.8407577276229858
41,57,0.8428933024406433
41,64,0.8175666332244873
41,66,0.8699354529380798
41,71,0.8230553865432739
41,74,0.7704522609710693
41,75,0.8452256321907043
41,76,0.8472757339477539
41,77,0.7851110696792603
41,79,0.7562326192855835
41,80,0.8345562815666199
41,83,0.8475302457809448
41,89,0.8306725025177002
41,106,0.8274659514427185
41,110,0.843162477016449
41,111,0.8116785287857056
41,117,0.7966448664665222
41,120,0.7977968454360962
41,126,0.8317068815231323
41,137,0.8474175333976746
41,139,0.8018375635147095
41,144,0.8687673211097717
41,194,0.8346842527389526
42,43,0.8615499138832092
42,44,0.8508029580116272
42,54,0.8628267049789429
42,55,0.7582125067710876
42,57,0.8463467359542847
42,64,0.8381398916244507
42,65,0.7960442900657654
42,66,0.8382187485694885
42,97,0.8267979621887207
42,98,0.6794483065605164
42,99,0.8230092525482178
42,102,0.7758170366287231
42,103,0.7584714293479919
42,111,0.8177250623703003
42,112,0.869730532169342
42,113,0.8326733708381653
42,119,0.8349118232727051
42,138,0.8093894124031067
42,139,0.8442820906639099
42,144,0.793714165687561
42,147,0.8341203331947327
42,155,0.8317025899887085
42,189,0.7678650617599487
43,53,0.8447057008743286
43,54,0.8532513976097107
43,64,0.8266623616218567
43,77,0.7858604192733765
43,83,0.8189534544944763
43,89,0.8596580028533936
43,108,0.7884427309036255
43,111,0.8007628917694092
43,112,0.8302218914031982
43,119,0.8419243693351746
43,137,0.8193047642707825
43,139,0.833793044090271
43,144,0.8621406555175781
43,159,0.7533609867095947
43,177,0.8052506446838379
44,54,0.8824966549873352
44,57,0.8442566990852356
44,58,0.8086144924163818
44,59,0.8294236660003662
44,62,0.7598024606704712
44,66,0.8424219489097595
44,71,0.8291646242141724
44,82,0.8342963457107544
44,86,0.7828658819198608
44,110,0.8623223900794983
44,114,0.8197575807571411
44,119,0.8537589907646179
44,126,0.8272545337677002
44,129,0.8220491409301758
44,135,0.7511690855026245
44,137,0.8674044013023376
44,138,0.824828028678894
44,139,0.8040315508842468
44,140,0.8600855469703674
44,143,0.875389814376831
44,147,0.8684535622596741
44,149,0.8263964653015137
44,154,0.8132583498954773
44,155,0.8881211876869202
44,194,0.8354213237762451
44,199,0.7608197331428528
45,49,0.7931258678436279
45,50,0.807814359664917
45,62,0.7785754203796387
45,69,0.8065669536590576
45,78,0.7793105244636536
45,79,0.7785520553588867
45,84,0.7756084203720093
45,90,0.7829932570457458
45,91,0.7440985441207886
45,93,0.7499369382858276
45,122,0.6850025057792664
45,124,0.7978441119194031
45,131,0.7685842514038086
45,134,0.8592014312744141
45,148,0.7673722505569458
45,170,0.7056764364242554
45,171,0.8008599877357483
45,173,0.7402613162994385
45,176,0.8492130041122437
45,183,0.827599287033081
