id,path,S,M,I
154,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189509.jpg,1.0,1.0,1.0
155,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189515.jpg,2.2,2.6,3.8
156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189521.jpg,7.400000000000003,8.000000000000004,28.200000000000003
157,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189551.jpg,1.6,7.200000000000005,29.4
158,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189668.jpg,1.0,1.0,1.0
159,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189713.jpg,1.0,1.0,1.0
160,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189725.jpg,1.0,1.4,3.0
161,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189748.jpg,1.6,1.8,2.4
162,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189754.jpg,1.0,1.0,1.0
163,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189755.jpg,2.2,2.6,3.8
164,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189851.jpg,1.6,1.8,2.4
165,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189912.jpg,1.0,1.0,1.0
166,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/189982.jpg,1.0,1.0,1.0
167,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/190036.jpg,1.0,1.0,1.0
168,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/190071.jpg,1.0,1.0,1.0
169,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/190078.jpg,8.600000000000003,9.000000000000002,38.4
170,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/190079.jpg,1.6,1.8,2.4
171,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/190122.jpg,1.0,1.0,1.0
172,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/190150.jpg,1.0,1.0,1.0
173,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/190186.jpg,1.6,1.8,2.4
174,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/190206.jpg,1.0,1.0,1.0
175,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/190215.jpg,1.0,1.0,1.0
